ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,94.0,0.7211897076760662,4.645299828226941,6.441162122509729,436.6581838533324,12.257
1,132.0,0.619488259554905,5.10186037986413,8.235604632006677,673.4455701420651,12.257
2,33.0,0.5648939446808536,2.435933865857215,4.312196809320442,80.38581757328811,12.257
3,47.0,0.37384487910927283,2.364937733477202,6.325986700986596,111.1520734734285,12.257
4,91.0,0.6302227982486204,4.27260569131605,6.779516233290128,388.80711790976056,12.257
5,94.0,0.6741079062463066,4.4911100883643895,6.662301460566791,422.1643483062526,12.257
6,159.0,0.45849085976575543,4.817136656640229,10.506505318560377,765.9247284057964,12.257
7,25.0,0.8060927020456065,2.532722232311122,3.1419739018649837,63.31805580777806,12.257
8,67.0,0.7477434434738922,3.99336283549579,5.34055212432661,267.55530997821796,12.257
9,138.0,0.4246359423776361,4.318898349268311,10.170826155425722,596.0079721990269,12.257
10,108.0,0.6902561714823832,4.871268751083169,7.057189710628317,526.0970251169821,12.257
11,128.0,0.794554554525577,5.689733292227735,7.160909543366768,728.28586140515,12.257
12,35.0,0.7032999933074262,2.7991707573487123,3.980052301984226,97.97097650720491,12.257
13,18.0,0.8029339343528624,2.1448712237860184,2.6712922844825484,38.60768202814833,12.257
14,21.0,0.8280527685247022,2.352684643671711,2.8412255028907936,49.40637751710594,12.257
15,12.0,1.527887453682195,2.4158021810153776,1.5811388300841898,28.98962617218453,12.257
16,106.0,0.36582362425211024,3.513288954398327,9.603778218481363,372.4086291662226,12.257
17,32.0,0.590688546294623,2.45289708836623,4.152606485690644,78.49270682771937,12.257
18,126.0,0.3750070419948814,3.8781986225300975,10.341668790803755,488.6530264387922,12.257
19,83.0,0.4929164474555387,3.6086998763929303,7.321118812369183,299.52208974061324,12.257
20,37.0,0.5574770301108929,2.562355683774798,4.596343069534355,94.80716029966753,12.257
21,43.0,0.6987841102469327,3.0926502058572565,4.425759201600036,132.983958851862,12.257
22,55.0,0.6733992079983568,3.4335447265153904,5.098825014542887,188.8449599583465,12.257
23,80.0,0.4732682707808778,3.471552614109838,7.335274364330162,277.72420912878704,12.257
24,26.0,0.7760597252831686,2.5343075096551404,3.2656088534041925,65.89199525103365,12.257
