ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,95.0,0.6898920299475776,4.5674881593183345,6.62058403496182,433.91137513524177,14.39
1,114.0,0.7465211511108596,5.2047341086172185,6.97198478686414,593.339688382363,14.39
2,79.0,0.6365048748972717,4.000732151548551,6.285469773022943,316.05783997233544,14.39
3,79.0,0.7827156692277135,4.436501404407002,5.668088143405114,350.48361094815317,14.39
4,94.0,0.752634241655675,4.745489064485082,6.305172953659091,446.0759720615977,14.39
5,94.0,0.771547508378657,4.804744817394091,6.227412784328553,451.6460128350446,14.39
6,89.0,0.6291138023300371,4.221673804387664,6.710508955219116,375.7289685905021,14.39
7,86.0,0.7853122157483368,4.636555533277806,5.904091952599461,398.74377586189127,14.39
8,90.0,0.6286704117970492,4.243828536871065,6.750482378739784,381.9445683183958,14.39
9,107.0,0.5436280289367377,4.302965585946202,7.9152754400140415,460.4173176962436,14.39
10,105.0,0.7973589292915685,5.162340472420913,6.474299443799433,542.0457496041959,14.39
11,98.0,0.6131552448237381,4.373441535781422,7.132682257392485,428.59727050657926,14.39
12,109.0,0.4304707724640786,3.864649813650046,8.977728712052196,421.24682968785504,14.39
13,88.0,0.5362585746960986,3.87573008827247,7.227353129912885,341.0642477679773,14.39
14,74.0,0.6119092826121169,3.7965090917350675,6.204365907849181,280.941672788395,14.39
15,68.0,0.7630312886524302,4.063971872430047,5.326088107877362,276.3500873252432,14.39
16,84.0,0.8463094887548536,4.756957943004419,5.620825485488967,399.5844672123712,14.39
17,59.0,0.5602619541033065,3.243744473872775,5.789692571690603,191.38092395849372,14.39
18,119.0,0.38023198673843644,3.7950968960272475,9.981003777669853,451.6165306272424,14.39
19,69.0,0.8244320413790456,4.255269201681224,5.161455387594279,293.6135749160045,14.39
20,67.0,0.713291433263246,3.900281643784085,5.468005729356144,261.31887013353366,14.39
21,60.0,0.629802740848614,3.4681906414535093,5.506788739566886,208.09143848721055,14.39
22,89.0,0.4845994086146301,3.7051987330609015,7.6459002367611255,329.7626872424202,14.39
23,75.0,0.6487638629771878,3.935491882069112,6.066139171206417,295.1618911551834,14.39
24,86.0,0.732897422503234,4.4791528866695565,6.111568616752493,385.2071482535818,14.39
25,86.0,0.49458764102365216,3.6795602552621354,7.4396526521498165,316.44218195254365,14.39
26,74.0,0.8259701680216927,4.410858283020457,5.34021500266171,326.4035129435139,14.39
27,107.0,0.40164481802870333,3.6986057164144666,9.208647915756622,395.75081165634793,14.39
28,67.0,0.8488122521748276,4.254693549779915,5.012526078503857,285.06446783525433,14.39
29,82.0,0.5410752865610882,3.7580351590071635,6.94549400489552,308.15888303858736,14.39
30,71.0,0.6796516609928602,3.919200025862877,5.76648340730539,278.2632018362643,14.39
31,67.0,0.7230257253855189,3.926805041737233,5.431072372485021,263.0959377963946,14.39
32,104.0,0.4242075260465208,3.7474074679375673,8.833901422877176,389.73037666550704,14.39
33,102.0,0.6642812569636471,4.644095575287899,6.9911585290175475,473.6977486793657,14.39
34,64.0,0.7026603690328972,3.783448095842495,5.3844620567541375,242.14067813391972,14.39
35,50.0,0.6349941872482454,3.1790323014272572,5.0063959092344295,158.95161507136285,14.39
36,71.0,0.7223116796571176,4.04032738109209,5.593606603467964,286.8632440575384,14.39
37,111.0,0.4753631779854795,4.098258251737932,8.62132037467807,454.9066659429104,14.39
38,105.0,0.7690164954514785,5.0697616393440885,6.592526518391136,532.3249721311292,14.39
39,70.0,0.5936001987780016,3.636814103005416,6.126706342909319,254.5769872103791,14.39
40,84.0,0.5635498937522039,3.8817797739295714,6.88808536203258,326.069501010084,14.39
41,78.0,0.7285638160452237,4.253105582784503,5.837656893079222,331.74223545719127,14.39
42,89.0,0.5648075442878041,4.000095053530822,7.082226669926578,356.0084597642432,14.39
