ID,LONG_AXIS,PIXEL_SCALE,ROUNDNESS,SHORT_AXIS,SURFACE,VOLUME
0,19.240696016534795,13.748,0.40755564465945615,7.841654268715469,474.0,3716.9441233711323
1,13.199542978535227,13.748,0.41289609695880436,5.450039777477187,226.0,1231.7089897098442
2,10.556199846281357,13.748,0.4598972326201634,4.85476709629019,161.0,781.6175025027204
3,13.959843136327972,13.748,0.41324686919778403,5.768861470579709,253.0,1459.5219520566664
4,10.104049138753043,13.748,0.4895069704531303,4.946002483220563,157.0,776.5223898656286
5,16.089537813151093,13.748,0.34428731449084143,5.539423765088634,280.0,1551.0386542248175
6,24.814706158620208,13.748,0.2538126980000935,6.298287520198931,491.0,3092.4591724176753
7,17.798968108510554,13.748,0.3094647547883908,5.508153301186606,308.0,1696.5112167654747
8,11.140792541063437,13.748,0.507788830135392,5.657170011207704,198.0,1120.1196622191253
9,12.539130111399905,13.748,0.3644079262430223,4.569358400786676,180.0,822.4845121416018
10,6.831673975895265,13.748,0.722939122133047,4.938884386832906,106.0,523.5217450042879
11,8.812284690954865,13.748,0.4754787128350606,4.190053781991329,116.0,486.04623871099426
12,12.731071647413804,13.748,0.4634812886240909,5.9006134927089775,236.0,1392.544784279319
13,8.72814731518402,13.748,0.6518243649255077,5.689219080696098,156.0,887.5181765885914
14,8.360383023067003,13.748,0.8106208690227809,6.777100951521878,178.0,1206.3239693708942
15,14.955739519206995,13.748,0.4610832571797146,6.89584109104734,324.0,2234.2525134993384
16,8.571056979829283,13.748,0.5632804977312409,4.8279092416810645,130.0,627.6282014185384
17,15.396386511995823,13.748,0.5223506246528324,8.042312111937463,389.0,3128.459411543673
18,9.244097179935387,13.748,0.5289437219674572,4.889607168583899,142.0,694.3242179389135
19,16.98491693027922,13.748,0.20633118836685654,3.5045180945368526,187.0,655.3448836783914
20,17.722553751547178,13.748,0.3638245253638583,6.447899706892118,359.0,2314.79599477427
21,7.06506592038682,13.748,0.8353894497753198,5.902081531858309,131.0,773.1726806734384
22,13.835621860844046,13.748,0.40573510552066966,5.613597495653642,244.0,1369.7177889394886
23,10.149667337913716,13.748,0.3955091002127663,4.014285796277156,128.0,513.828581923476
24,7.304423317415205,13.748,0.5965931450780193,4.357768879917957,100.0,435.7768879917958
25,6.761957419242768,13.748,0.536038507363187,3.6246695618643217,77.0,279.0995562635528
26,6.1907623560232965,13.748,0.697655700399986,4.319020647501301,84.0,362.7977343901092
