ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,86.0,0.7593517247624648,4.5592749262469425,6.0041674728178736,392.0976436572371,12.343
1,130.0,0.8258757631302116,5.845936590599556,7.078469730655914,759.9717567779423,12.343
2,81.0,0.425309244516902,3.3114635909854444,7.786013668117777,268.228550869821,12.343
3,126.0,0.6865485545148277,5.247421673846581,7.643190913940306,661.1751309046692,12.343
4,46.0,0.8185087332994763,3.4619089242644394,4.2295320543608605,159.2478105161642,12.343
5,87.0,0.8384823688688894,4.818719620807388,5.746954020402159,419.22860701024274,12.343
6,56.0,0.4378122741210601,2.7935924198313375,6.38079968278568,156.4411755105549,12.343
7,54.0,0.6834896692900208,3.4275825325341436,5.0148271240069615,185.08945675684373,12.343
8,40.0,0.9532911893197343,3.483917392662318,3.654620363320918,139.35669570649273,12.343
9,89.0,0.5046180533700031,3.780954568223448,7.492705706767736,336.5049565718869,12.343
10,62.0,0.43609969506316826,2.9336871589556477,6.727102064427513,181.88860385525015,12.343
11,119.0,0.6850750072691052,5.094101644387499,7.435830515397095,606.1980956821124,12.343
12,103.0,0.6403626986025842,4.582016925326549,7.155346392482797,471.94774330863464,12.343
13,78.0,0.8591189711832625,4.618479493402889,5.375832275059493,360.2414004854253,12.343
14,47.0,0.8626664051074199,3.5924889040250587,4.164401074106646,168.84697848917773,12.343
15,51.0,0.5829404375376703,3.076254365385248,5.277133249460768,156.88897263464762,12.343
16,59.0,0.6435985480284974,3.4766309918783778,5.4018627023447525,205.1212285208243,12.343
17,60.0,0.6906156878108771,3.631774780879073,5.258749323217839,217.90648685274437,12.343
18,66.0,0.5102044380915638,3.273928175278098,6.416894740320826,216.07925956835453,12.343
19,80.0,0.7034563712673148,4.232418858982285,6.016604628027398,338.5935087185828,12.343
20,81.0,0.41676728650998957,3.2780410232734867,7.865399059325917,265.5213228851524,12.343
21,78.0,0.7293201094467988,4.255312500898813,5.834629329124814,331.91437507010744,12.343
