ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,134.0,0.5658413890626688,4.91275174339011,8.682206424539238,658.3087336142747,12.324
1,125.0,0.7333803574220317,5.401877198026102,7.365723861237168,675.2346497532627,12.324
2,177.0,0.46720243648269844,5.130553803006333,10.981436316195943,908.1080231321212,12.324
3,330.0,0.5272197580501411,7.441797913743655,14.11517265829765,2455.7933115354067,12.324
4,217.0,0.4649335521527078,5.666962969432533,12.188758895101671,1229.7309643668596,12.324
5,142.0,0.7240043511073161,5.7205768458128885,7.901301749172709,812.3219121054302,12.324
6,212.0,0.605740033306748,6.393462653716947,10.554796285817359,1355.4140825879927,12.324
7,474.0,0.5757119639062551,9.320020375539773,16.18868628732784,4417.689658005852,12.324
8,121.0,0.5762392042044194,4.7110655796856165,8.175538119087047,570.0389351419597,12.324
9,74.0,0.37060062209505706,2.9545680388282234,7.972377439966608,218.63803487328852,12.324
10,232.0,0.42041697898213404,5.571975262799755,13.253449649654945,1292.6982609695433,12.324
11,266.0,0.6973780985514196,7.684224312516796,11.018734784585748,2044.0036671294679,12.324
12,168.0,0.5642307925002108,5.492980994822228,9.735344238271392,922.8208071301344,12.324
13,191.0,0.5986082198642402,6.0327188429207075,10.07790845954117,1152.249298997855,12.324
14,168.0,0.6414669985032817,5.856887250387521,9.130457629236178,983.9570580651036,12.324
15,242.0,0.46099678078093675,5.9591139897468555,12.92658482267926,1442.1055855187392,12.324
16,199.0,0.4527247289397428,5.355113876598518,11.828631250472908,1065.667661443105,12.324
17,171.0,0.6451753395708186,5.926004792704884,9.185107410718707,1013.3468195525352,12.324
18,152.0,0.5939829297770622,5.3608522730450785,9.025263192423981,814.8495455028519,12.324
19,159.0,0.591435631452437,5.471134211175367,9.250599592282688,869.9103395768833,12.324
20,199.0,0.7184208060921655,6.7459179181808615,9.389925599280923,1342.4376657179914,12.324
21,163.0,0.6639369067388887,5.869245440294315,8.840065043413164,956.6870067679732,12.324
22,164.0,0.6591878658114271,5.866128739176126,8.899024152932816,962.0451132248846,12.324
23,239.0,0.4563625013408595,5.892220490666129,12.911272230636671,1408.2406972692047,12.324
24,183.0,0.42242485912708955,4.960498726527447,11.742913844554412,907.7712669545228,12.324
25,260.0,0.5130186943839538,6.515958853236678,12.701211329269805,1694.1493018415363,12.324
26,182.0,0.5361573681349479,5.573229111621893,10.394763632566814,1014.3276983151844,12.324
27,403.0,0.5909341849674907,8.706570957795185,14.73357131687036,3508.7480959914587,12.324
28,134.0,0.5413009332011713,4.805038267355585,8.87683351835239,643.8751278256485,12.324
29,122.0,0.38911058316334124,3.8872413024708217,9.990068301069652,474.24343890144024,12.324
30,181.0,0.5946990776577505,5.853464429364438,9.84273332391665,1059.4770617149634,12.324
31,165.0,0.6764520840253957,5.960539293500248,8.811473028555966,983.4889834275409,12.324
32,263.0,0.5003902889135831,6.472281148462219,12.934465939605747,1702.2099420455636,12.324
33,122.0,0.7068039632305226,5.239073207066256,7.412342713983259,639.1669312620833,12.324
34,75.0,0.903474193211403,4.644228415015085,5.140410705597639,348.3171311261314,12.324
35,109.0,0.5888780640201201,4.520130787847506,7.675834886750117,492.6942558753782,12.324
36,146.0,0.5151446390035667,4.892897115797003,9.498103533138245,714.3629789063625,12.324
37,164.0,0.5666891138809307,5.439004556343862,9.597863137153315,891.9967472403935,12.324
38,250.0,0.34824088368449935,5.264231094142706,15.116637192179928,1316.0577735356765,12.324
39,98.0,0.6060602202945321,4.348064633231965,7.174311211382424,426.1103340567326,12.324
40,174.0,0.6802603128856854,6.138146577101158,9.02323193170413,1068.0375044156012,12.324
41,122.0,0.6396081477854377,4.983815686831181,7.791982800855512,608.0255137934041,12.324
42,298.0,0.4439090703226977,6.4890363232001045,14.617940377931292,1933.732824313631,12.324
43,247.0,0.5103691114019102,6.334549458266934,12.41170226949441,1564.6337161919325,12.324
44,310.0,0.37604336699793983,6.091508812952497,16.198952960087365,1888.3677320152738,12.324
45,158.0,0.3000885565533204,3.884886404579184,12.945799897201042,613.8120519235111,12.324
46,155.0,0.5602235643029877,5.2574069980902225,9.384480291598088,814.8980847039845,12.324
47,115.0,0.7985377993216675,5.406568666149213,6.770585776580548,621.7553966071596,12.324
48,170.0,0.6017234845376587,5.7062133467949065,9.483115572893658,970.0562689551341,12.324
49,114.0,0.6447905029721355,4.837119374579592,7.501846494765489,551.4316087020736,12.324
50,98.0,0.3534605859145736,3.320539096223163,9.394368788336957,325.41283142987,12.324
51,199.0,0.4782119179205484,5.503789299368153,11.509101076570344,1095.2540705742624,12.324
52,179.0,0.5078475947722004,5.3792072748897235,10.592168458142673,962.8781022052606,12.324
53,189.0,0.675669214758907,6.375628915662673,9.436021023893522,1204.993865060245,12.324
54,204.0,0.6374046595328122,6.433506799895147,10.09328486021832,1312.4353871786102,12.324
55,75.0,0.7142240808527762,4.129266755908091,5.781472323052716,309.6950066931069,12.324
56,212.0,0.4272887014343592,5.369745450139364,12.567019516579176,1138.386035429545,12.324
57,159.0,0.5668560752161531,5.356240001415022,9.449029895944195,851.6421602249887,12.324
58,103.0,0.7316164136627384,4.897623500066893,6.694250441358476,504.45522050689,12.324
59,240.0,0.6375255160840115,6.978779396954125,10.946666793544432,1674.90705526899,12.324
60,154.0,0.5989163512873926,5.4183681421838426,9.046953102109937,834.4286938963118,12.324
61,170.0,0.5303293738625819,5.357008871357253,10.101286361606196,910.6915081307329,12.324
62,47.0,0.8053977850329596,3.4711965707038788,4.309915715203793,163.1462388230823,12.324
